Año,cantidad_eventos,can_even_mediamovil
1996-01-01,904.0,
1997-01-01,884.0,894.0
1998-01-01,935.0,909.5
1999-01-01,1577.0,1256.0
2000-01-01,2009.0,1793.0
2001-01-01,1806.0,1907.5
2002-01-01,1897.0,1851.5
2003-01-01,1257.0,1577.0
2004-01-01,1135.0,1196.0
2005-01-01,1232.0,1183.5
2006-01-01,1038.0,1135.0
2007-01-01,1442.0,1240.0
2008-01-01,863.0,1152.5
2009-01-01,744.0,803.5
2010-01-01,1117.0,930.5
2011-01-01,1991.0,1554.0
2012-01-01,2178.0,2084.5
2013-01-01,2339.0,2258.5
2014-01-01,2478.0,2408.5
2015-01-01,2058.0,2268.0
2016-01-01,1393.0,1725.5
2017-01-01,786.0,1089.5
2018-01-01,476.0,631.0
2019-01-01,549.0,512.5
2020-01-01,647.0,598.0
2021-01-01,964.0,805.5
2022-01-01,1539.0,1251.5
2023-01-01,1860.0,1699.5
2024-01-01,2153.0,2006.5
2025-01-01,1065.0,1609.0
